ペンキ塗り | ぺんきぬり | painting (with paint) | 壁をペンキ塗りした。 | I painted the wall. | ペンキ塗り作業 |  | 
人並み | ひとなみ | ordinary; average | 彼は人並み以上に努力している。 | He works harder than most people. | 人並みの生活 | 人並み（ひとなみ） means: ⏎  ⏎ average, ordinary, about the same as most people, or typical for a normal person. ⏎  ⏎ It compares someone or something to the general population. ⏎  ⏎ Common expressions ⏎ 人並みの生活 ⏎ → an ordinary life ⏎ 人並みにできる ⏎ → can do it as well as most people ⏎ 人並み以上 ⏎ → above average ⏎ 人並み以下 ⏎ → below average ⏎ Example sentences ⏎ 彼は人並みの給料をもらっている。 ⏎ → He earns an average salary. ⏎ 私も人並みには運動できます。 ⏎ → I can exercise about as well as most people. ⏎ 人並みの幸せがあれば十分だ。 ⏎ → Ordinary happiness is enough for me. ⏎ Nuance ⏎  ⏎ Unlike 「普通（ふつう）」, which means "normal," 人並み specifically means: ⏎  ⏎ "at the level of an average person." ⏎  ⏎ For example: ⏎  ⏎ 普通の車 ⏎ → a normal car ⏎ 人並みの運転技術 ⏎ → driving skill comparable to the average person ⏎ Example contrast ⏎ 彼の英語は普通だ。 ⏎ → His English is normal. (general impression) ⏎ 彼の英語は人並みだ。 ⏎ → His English is about average compared to other people. ⏎ A useful phrase ⏎ 人並み以上の努力 ⏎ → more effort than the average person ⏎  ⏎ This phrase is very common in motivational contexts: ⏎  ⏎ 成功するには人並み以上の努力が必要だ。 ⏎ To succeed, you need more effort than the average person. ⏎  ⏎ So when you see 人並み, think: ⏎  ⏎ "on par with the average person" rather than simply "normal." | 
前触れ | まえぶれ | omen; sign; advance notice | 事故の前触れがあった。 | There were signs before the accident. | 前触れもなく |  | 
心ない | こころない | heartless; insensitive | 心ない言葉に傷ついた。 | I was hurt by the heartless words. | 心ない行動 |  | 
絶えない | たえない | endless; constant | 苦情が絶えない。 | Complaints never stop. | 絶えない声 | 絶えない（たえない） means: ⏎  ⏎ does not stop, never ceases, continues constantly, keeps occurring. ⏎  ⏎ It comes from the verb 絶える（たえる）, meaning "to cease," "to die out," or "to come to an end." ⏎  ⏎ So: ⏎  ⏎ 絶える = to stop/end ⏎ 絶えない = to not stop / to continue ⏎ Common expressions ⏎ 事故が絶えない ⏎ → accidents keep occurring ⏎ 苦情が絶えない ⏎ → complaints never stop ⏎ 戦争が絶えない ⏎ → wars continue without end ⏎ 笑いが絶えない ⏎ → laughter never stops ⏎ Example sentences ⏎ この道路では事故が絶えない。 ⏎ → Accidents keep happening on this road. ⏎ その店は客が絶えない。 ⏎ → That store always has customers. ⏎ 彼の家は笑いが絶えない。 ⏎ → His household is always full of laughter. ⏎ Positive and negative uses ⏎  ⏎ Negative ⏎  ⏎ トラブルが絶えない。 ⏎ → Problems never stop occurring. ⏎ 犯罪が絶えない。 ⏎ → Crime continues unabated. ⏎  ⏎ Positive ⏎  ⏎ 人気が絶えない。 ⏎ → Its popularity never fades. ⏎ 笑顔が絶えない。 ⏎ → Smiles are constant. ⏎ Difference from 続く ⏎ 雨が続く ⏎ → The rain continues. ⏎ 雨が絶えない ⏎ → The rain never lets up / keeps occurring repeatedly. ⏎  ⏎ 絶えない often emphasizes that something keeps occurring over and over, with no sign of ending. ⏎  ⏎ Common JLPT-style phrase ⏎ 客足が絶えない（きゃくあしがたえない） ⏎ → Customers keep coming; business is constantly busy. ⏎  ⏎ A useful translation is: ⏎  ⏎ 絶えない = incessant, unceasing, never-ending, constantly occurring. | 
心細い | こころぼそい | lonely; uneasy | 一人だと心細い。 | I feel uneasy when alone. | 心細い気持ち |  | 
シビア | しびあ | severe; strict | シビアな状況だ。 | It’s a harsh situation. | シビアな判断 |  | 
費用 | ひよう | cost; expense | 費用がかかりすぎる。 | It costs too much. | 費用負担 |  | 
廃棄物 | はいきぶつ | waste; garbage | 廃棄物を処理する。 | Dispose of waste. | 産業廃棄物 |  | 
規模 | きぼ | scale; size | 大規模なプロジェクトだ。 | It’s a large‑scale project. | 規模拡大 |  | 
人一倍 | ひといちばい | more than others | 彼は人一倍努力した。 | He worked harder than anyone. | 人一倍の努力 |  | 
