窮屈 | narrow, tight, cramped, constraint | きゅうくつ | 部屋が窮屈に感じる。 | Room feels cramped
かつ | and(polite way to say and) | かつ | 迅速かつ丁寧な対応。 | Quick and polite service
欠陥 | defect, flaw, imperfection | けっかん | この製品には欠陥が見つかった。 | A defect was found in this product
概念 | concept, idea, notion | がいねん | 自由という概念は国によって異なる。 | The concept of freedom differs by country
比喩 | metaphor, figurative expression | ひゆ | 彼の説明は比喩が多くて分かりやすい。 | His explanation is easy to understand because it uses many metaphors
虚偽 | falsehood, lie, untruth | きょぎ | 虚偽の申告をすると罰せられる。 | Making a false statement will be punished
嗜好 | preference, taste, personal liking | しこう | 人の嗜好は年齢とともに変わる。 | People's preferences change with age
戸籍 | family registry, household registration | こせき | 結婚すると戸籍が変更される。 | Your family registry changes when you get married
変更 | change, modification, alteration | へんこう | 予定が急に変更された。 | The schedule was suddenly changed
相互 | mutual, reciprocal | そうご | 相互の理解が大切だ。 | Mutual understanding is important
安易 | easy, simplistic, careless | あんい | 安易な考えで決めるべきではない。 | You shouldn’t decide based on a simplistic idea
慎重 | careful, cautious | しんちょう | 彼は慎重に行動するタイプだ。 | He is the type who acts cautiously
敏感 | sensitive, responsive | びんかん | 彼は音に敏感だ。 | He is sensitive to sound
特徴 | characteristic, feature, trait | とくちょう | この地域の特徴を説明してください。 | Please explain the characteristics of this area
騒音 | noise, loud sound | そうおん | 工事の騒音で眠れなかった。 | I couldn’t sleep because of the construction noise
衣装 | costume, outfit | いしょう | 彼女の衣装はとても華やかだ。 | Her costume is very glamorous
樹木 | trees, woody plants | じゅもく | 公園には多くの樹木が植えられている。 | Many trees are planted in the park
魅力 | charm, appeal, attractiveness | みりょく | 彼の笑顔には不思議な魅力がある。 | His smile has a mysterious charm
引き寄せる | to attract, draw in, pull toward | ひきよせる | 光は虫を引き寄せる。 | Light attracts insects
首相 | prime minister | しゅしょう | 首相が会見を開いた。 | The prime minister held a press conference
起伏 | ups and downs, undulation, variations | きふく | この道は起伏が多い。彼は感情の起伏が激しい人だ。 | This road has many ups and downs. He is unstable emotionally.
軌道 | orbit, track, path, course | きどう | 計画は順調に軌道に乗った。 | The plan has gotten on the right track
花壇 | flower bed | かだん | 公園の花壇に色とりどりの花が咲いている。 | Colorful flowers are blooming in the park’s flower bed
疑惑 | suspicion, doubt, allegation | ぎわく | 彼には汚職の疑惑がかけられている。 | He is under suspicion of corruption
取り上げる | to take up, to pick up, to feature | とりあげる | この問題を会議で取り上げる。 | We will take up this issue in the meeting
戯曲 | play, drama (script) | ぎきょく | 彼は有名な戯曲を書いた。 | He wrote a famous play
遺跡 | ruins, archaeological site | いせき | この地域には古代の遺跡が残っている。 | Ancient ruins remain in this area
強盗 | robbery, robber | ごうとう | 昨夜、銀行で強盗事件が起きた。 | A robbery occurred at the bank last night
猛烈 | fierce, intense, severe | もうれつ | 猛烈な嵐が町を襲った。 | A fierce storm hit the town
勇敢 | brave, courageous | ゆうかん | 彼の勇敢な行動が多くの人を救った。 | His courageous actions saved many people
無謀 | reckless, rash, thoughtless | むぼう | 無謀な運転は危険だ。 | Reckless driving is dangerous
捕虜 | prisoner of war, captive | ほりょ | 彼は戦争で捕虜になった。 | He was taken prisoner during the war
貫禄 | dignity, presence, imposing manner | かんろく | 彼は若いのに貫禄がある。 | He has an impressive presence despite being young
負債 | debt, liabilities | ふさい | 会社は多額の負債を抱えている。 | The company is carrying a large amount of debt
抱える | to hold, to carry, to have (problems) | かかえる | 彼は仕事の悩みを抱えている。 | He is carrying worries about his job
砂漠 | desert | さばく | 砂漠では水が非常に貴重だ。 | Water is extremely precious in the desert
近郊 | suburbs, outskirts | きんこう | 東京近郊に住んでいる。 | I live in the outskirts of Tokyo
名誉 | honor, prestige | めいよ | これは私にとって大きな名誉です。 | This is a great honor for me
富豪 | wealthy person, millionaire | ふごう | 彼は若くして富豪になった。 | He became wealthy at a young age
万能 | all-purpose, versatile | ばんのう | 彼は万能な選手だ。 | He is a very versatile player
巧妙 | clever, skillful, ingenious | こうみょう | 巧妙な手口で金を盗んだ。 | The money was stolen using a clever method
手も足も出なかった | completely powerless, unable to do anything | てもあしもでなかった | 相手が強すぎて手も足も出なかった。 | The opponent was too strong and I couldn’t do anything
倒産 | bankruptcy, collapse | とうさん | その会社は倒産してしまった。 | The company went bankrupt
膨大 | enormous, vast | ぼうだい | 膨大なデータを処理する必要がある。 | We need to process an enormous amount of data
借金 | debt, loan | しゃっきん | 彼は借金を返すために働いている。 | He is working to pay off his debt
貴族 | aristocrat, noble | きぞく | 彼の家系は昔の貴族だ。 | His family line comes from old nobility
庶民 | ordinary people, commoners | しょみん | その店は庶民に人気がある。 | That shop is popular among ordinary people
生涯 | lifetime, one’s whole life | しょうがい | 彼は生涯を研究に捧げた。 | He devoted his entire life to research
失態 | blunder, misstep, disgraceful mistake | したい | 彼は会議で大きな失態を演じた。 | He made a major blunder during the meeting
面目 | honor, reputation, dignity | めんぼく | 失敗して面目を失った。 | I lost my reputation because of the failure
飢餓 | starvation, famine | きが | 飢餓に苦しむ人々を救う必要がある。 | We must help people suffering from starvation
酪農 | dairy farming | らくのう | この地域は酪農が盛んだ。 | Dairy farming is thriving in this region
無礼極まりない | extremely rude, utterly disrespectful | ぶれいきわまりない | 彼の態度は無礼極まりない。 | His attitude is utterly disrespectful
既婚者 | married person | きこんしゃ | 彼は既婚者で子どももいる。 | He is married and has children
経緯 | circumstances, sequence of events, background | けいい | 事件の経緯を詳しく説明してください。 | Please explain the background of the incident in detail
事細かく | in detail, minutely | ことこまかく | 彼は事細かく状況を報告した。 | He reported the situation in great detail
積込 | loading (cargo), loading work | つみこみ | 荷物の積込が完了した。 | The cargo loading has been completed
船舶 | ship, vessel | せんぱく | 多くの船舶が港に停泊している。 | Many vessels are anchored in the harbor
停泊 | anchoring, mooring | ていはく | 船は港に停泊している。 | The ship is anchored in the harbor
便宜 | convenience, accommodation, favor | べんぎ | 彼は友人に便宜を図った。 | He arranged a favor for his friend
便宜を図る見返りに | in return for providing a favor | べんぎをはかるみかえりに | 便宜を図る見返りに金を受け取った。 | He received money in return for providing a favor
陶器 | pottery, ceramics | とうき | この店では美しい陶器を売っている。 | This shop sells beautiful pottery
妊娠中 | during pregnancy, pregnant | にんしんちゅう | 妊娠中は無理をしないでください。 | Please don’t overexert yourself during pregnancy
禁物 | something to be avoided, taboo | きんもつ | 妊娠中は過度なストレスは禁物だ。 | Excessive stress is forbidden during pregnancy
雪の結晶 | snowflake, ice crystal | ゆきのけっしょう | 雪の結晶は一つとして同じ形がない。 | No two snowflakes have the same shape
無言 | silence, wordlessness | むごん | 彼は無言で部屋を出ていった。 | He left the room without saying a word
誇張 | exaggeration | こちょう | 彼の話には誇張が多い。 | His story contains a lot of exaggeration
悪癖 | bad habit, vice | あくへき | 彼の悪癖を直すのは難しい。 | It’s hard to fix his bad habits
神秘 | mystery, wonder | しんぴ | 海の深さには多くの神秘がある。 | The depths of the ocean hold many mysteries
迫る | to approach, to draw near, to press | せまる | 締め切りが迫っている。 | The deadline is approaching
融通が利かない人 | inflexible person, rigid person | ゆうずうがきかないひと | 彼は融通が利かない人だ。 | He is a very inflexible person
一概 | categorically, universally | いちがい | 一概にそうだとは言えない。 | You can’t say that universally
非難 | criticism, blame, reproach | ひなん | 彼の行動は多くの非難を受けた。 | His actions received a lot of criticism
突如 | suddenly, abruptly | とつじょ | 突如、雨が降り始めた。 | Suddenly, it began to rain
印鑑 | personal seal, stamp | いんかん | 契約には印鑑が必要だ。 | A personal seal is required for the contract
拝啓 | Dear Sir/Madam (formal letter opening) | はいけい | 拝啓で始まる手紙を書いた。 | I wrote a letter beginning with “Haikei”
植物繊維 | plant fiber | しょくぶつせんい | この服は植物繊維で作られている。 | This clothing is made from plant fibers
斬新 | innovative, novel, fresh | ざんしん | 彼のアイデアはいつも斬新だ。 | His ideas are always innovative
不幸 | misfortune, unhappiness | ふこう | 不幸な出来事が続いた。 | A series of misfortunes occurred
陰謀 | conspiracy, plot | いんぼう | 彼は陰謀に巻き込まれた。 | He was caught up in a conspiracy
企む | to scheme, to plot, to plan secretly | たくらむ | 彼は何かを企んでいるようだ。 | He seems to be plotting something
趣旨 | purpose, intent, meaning | しゅし | 会議の趣旨を説明してください。 | Please explain the purpose of the meeting
怪獣 | monster, kaiju | かいじゅう | 映画に巨大な怪獣が登場した。 | A giant monster appeared in the movie
泣き叫んでいます | crying and screaming | なきさけんでいます | 子どもが外で泣き叫んでいます。 | A child is crying and screaming outside
賄賂 | bribe | わいろ | 彼は賄賂を受け取った疑いがある。 | He is suspected of accepting a bribe
微妙 | subtle, delicate, tricky | びみょう | その表現は微妙に違う。 | That expression is subtly different
素材 | material, ingredient | そざい | この料理は新鮮な素材を使っている。 | This dish uses fresh ingredients
実費 | actual cost, out-of-pocket expense | じっぴ | 交通費は実費で請求してください。 | Please claim the transportation cost at actual expense
請求 | billing, claim, request for payment | せいきゅう | 会社に費用を請求した。 | I billed the company for the expenses
貴重 | valuable, precious | きちょう | これは貴重な資料だ。 | This is valuable material
冒頭 | beginning, opening | ぼうとう | 会議の冒頭で挨拶があった。 | There was a greeting at the beginning of the meeting
幽霊 | ghost, spirit | ゆうれい | 幽霊を見たという人がいる。 | Some people say they’ve seen a ghost
建前 | public stance, official position (as opposed to true feelings) | たてまえ | 建前と本音は違うことが多い。 | Public positions often differ from true feelings
初耳 | first time hearing something | はつみみ | その話は初耳だ。 | That’s the first time I’ve heard that
放課後 | after school | ほうかご | 放課後に友達と遊んだ。 | I played with friends after school
音色 | tone, timbre | ねいろ | 彼のギターの音色は美しい。 | His guitar tone is beautiful
口先 | lip service, words only | くちさき | 口先だけの約束は信用できない。 | Promises made only in words can’t be trusted
先走り | acting prematurely, rushing ahead | さきばしり | 先走った行動は失敗のもとだ。 | Acting prematurely leads to failure
一際 | noticeably, remarkably | ひときわ | 彼女の声は一際よく通る。 | Her voice stands out remarkably
指図 | instructions, orders | さしず | 他人に指図されるのが嫌いだ。 | I don’t like being ordered around
敷金 | security deposit | しききん | 敷金は退去時に返金される。 | The security deposit is refunded when you move out
賃貸 | rental, lease | ちんたい | 賃貸アパートに住んでいる。 | I live in a rental apartment
老舗 | long‑established store | しにせ | この店は百年以上続く老舗だ。 | This shop is a long‑established business over 100 years old
雪崩 | avalanche | なだれ | 雪崩の危険がある。 | There is a risk of an avalanche
日向 | sunny place, sunlight | ひなた | 猫が日向で寝ている。 | The cat is sleeping in the sunlight
台所 | kitchen | だいどころ | 台所を掃除した。 | I cleaned the kitchen
手際 | skill, efficiency, handling | てぎわ | 彼女は料理の手際がいい。 | She is very efficient at cooking
給食 | school lunch | きゅうしょく | 今日の給食はカレーだ。 | Today’s school lunch is curry
献立 | menu, meal plan | こんだて | 今週の献立を決めた。 | I decided this week’s menu
手薄 | understaffed, insufficient | てうす | 今日は人手が手薄だ。 | We are short‑staffed today
脱獄 | prison break, escape | だつごく | 囚人が脱獄した。 | A prisoner escaped from jail
人質 | hostage | ひとじち | 犯人は人質を取った。 | The criminal took a hostage
むやみに | recklessly, blindly, excessively | むやみに | むやみに人を信じてはいけない。 | You shouldn’t trust people blindly
図星 | spot‑on, exactly right | ずぼし | 図星を突かれて黙ってしまった。 | He went silent because the guess was spot‑on
獲物 | prey, catch | えもの | 猫が獲物を追いかけている。 | The cat is chasing its prey
問屋 | wholesale store, wholesaler | とんや | 問屋から商品を仕入れる。 | We buy products from a wholesaler
仕入 | purchasing, stocking up | しいれ | 新商品の仕入を行った。 | We purchased stock of the new product
砂浜 | sandy beach | すなはま | 砂浜を散歩した。 | I walked along the sandy beach
貝殻 | seashell | かいがら | 子どもが貝殻を集めている。 | The child is collecting seashells
仕事の合間 | in between work, during breaks | しごとのあいま | 仕事の合間にコーヒーを飲んだ。 | I drank coffee during a break from work
小銭 | small change, coins | こぜに | 小銭が足りない。 | I don’t have enough small change
一万円札 | 10,000‑yen bill | いちまんえんさつ | 一万円札しか持っていない。 | I only have a 10,000‑yen bill　
悪循環 | vicious cycle | あくじゅんかん | 悪循環を断つ必要がある。 | We need to break the vicious cycle
断つ | to cut off, to sever, to break (a cycle/habit) | たつ | 彼は悪い習慣を断った。 | He broke his bad habit
幼稚園 | kindergarten | ようちえん | 子どもは幼稚園に通っている。 | My child goes to kindergarten
死傷者 | casualties (dead and injured) | ししょうしゃ | 事故で多くの死傷者が出た。 | Many casualties resulted from the accident
報道 | news coverage, reporting | ほうどう | 事件は大きく報道された。 | The incident was widely reported
取締役 | company director, board member | とりしまりやく | 彼は取締役に就任した。 | He was appointed as a company director
都心 | city center, downtown | としん | 都心にオフィスがある。 | The office is in the city center
過疎化 | depopulation | かそか | この地域は過疎化が進んでいる。 | Depopulation is progressing in this area
屋敷 | mansion, estate | やしき | 彼は大きな屋敷に住んでいる。 | He lives in a large estate
不気味な | eerie, creepy | ぶきみな | 不気味な音が聞こえた。 | I heard a creepy sound
無条件 | unconditional | むじょうけん | 彼は無条件で協力すると言った。 | He said he would cooperate unconditionally
雰囲気 | atmosphere, mood | ふんいき | この店は雰囲気がいい。 | This shop has a nice atmosphere
多種多様な | diverse, various | たしゅたような | 多種多様な文化が共存している。 | Many diverse cultures coexist here
香辛料 | spices | こうしんりょう | この料理は香辛料が効いている。 | This dish is rich in spices
無秩序 | disorder, chaos | むちつじょ | 無秩序な状態が続いている。 | A state of disorder continues
愛犬 | beloved dog | あいけん | 愛犬と散歩するのが日課だ。 | Walking my dog is part of my daily routine
老衰 | senility, old age decline | ろうすい | 犬は老衰で亡くなった。 | The dog died of old age
廃棄 | disposal, discarding | はいき | 不要な物を廃棄した。 | I disposed of unnecessary items
把握 | grasp, understanding | はあく | 状況を正確に把握する。 | Grasp the situation accurately
閲覧 | browsing, viewing | えつらん | 資料を自由に閲覧できる。 | You can freely view the documents
徴収 | collection (taxes, fees) | ちょうしゅう | 市は税金を徴収する。 | The city collects taxes
僧侶 | monk | そうりょ | 僧侶が祈りを捧げた。 | The monk offered prayers
過酷な | harsh, severe | かこくな | 過酷な環境での作業だった。 | It was work in a harsh environment
修行 | training, ascetic practice | しゅぎょう | 僧侶は厳しい修行を行う。 | Monks undergo strict training
中傷 | slander, defamation | ちゅうしょう | 彼はネットで中傷された。 | He was slandered online
貢献 | contribution | こうけん | 社会に貢献したい。 | I want to contribute to society
家族総出 | whole family together | かぞくそうで | 家族総出で引っ越しを手伝った。 | The whole family helped with the move
収穫 | harvest | しゅうかく | 今年の収穫は豊作だ。 | This year’s harvest is abundant
抑制 | suppression, restraint | よくせい | 物価の上昇を抑制する。 | Suppress the rise in prices
対処 | dealing with, handling | たいしょ | 問題に適切に対処する。 | Handle the problem appropriately
妥協 | compromise | だきょう | 妥協せずに話し合うことが大切だ。 | It’s important to discuss things without compromising too quickly
腐敗 | corruption, decay | ふはい | 政治の腐敗が問題になっている。 | Political corruption has become a major issue
競技 | competition, sporting event | きょうぎ | 彼は競技に参加した。 | He participated in the competition
棄権 | withdrawal, forfeiture | きけん | けがのため試合を棄権した。 | He withdrew from the match due to injury
矛盾 | contradiction | むじゅん | 彼の話には矛盾が多い。 | His story contains many contradictions
是正 | correction, rectification | ぜせい | 不公平な制度を是正する。 | Correct the unfair system
経済格差 | economic disparity | けいざいかくさ | 経済格差が広がっている。 | Economic disparity is widening
取り組んでいる | working on, tackling | とりくんでいる | 彼は新しいプロジェクトに取り組んでいる。 | He is working on a new project
振興 | promotion, encouragement | しんこう | 観光振興に力を入れている。 | They are focusing on promoting tourism
憲法 | constitution | けんぽう | 憲法を改正する議論が続いている。 | Discussions on revising the constitution continue
改善案 | improvement plan, proposal | かいぜんあん | 改善案を提出した。 | I submitted an improvement proposal
審議 | deliberation, discussion | しんぎ | 法案が国会で審議されている。 | The bill is being discussed in parliament
