打開 | breakthrough; opening | だかい | 問題の打開策を探る。 | Seek a breakthrough solution. | 打開策 |  | 解決（かいけつ）
栽培 | cultivation | さいばい | 野菜を栽培している。 | I cultivate vegetables. | 水耕栽培 |  | 育てる
低賃金 | low wages | ていちんぎん | 低賃金で働かされている。 | They are forced to work for low wages. | 低賃金労働 |  | 最低賃金
改革 | reform | かいかく | 制度を改革する。 | Reform the system. | 改革案 |  | 改善（かいぜん）
怠慢 | negligence; laziness | たいまん | 仕事の怠慢を指摘された。 | He was criticized for negligence. | 職務怠慢 |  | 怠ける
弱体化 | weakening | じゃくたいか | 組織が弱体化している。 | The organization is weakening. | 経営弱体化 |  | 衰退（すいたい）
発揮 | demonstration (of ability) | はっき | 実力を発揮した。 | He demonstrated his ability. | 能力発揮 |  | 表す（あらわす）
軌道に乗ってきた | got on track | きどうにのってきた | 事業が軌道に乗ってきた。 | The business is getting on track. | 計画が軌道に乗る |  | 安定する
花壇 | flower bed | かだん | 花壇に花を植えた。 | I planted flowers in the flower bed. | 公園の花壇 |  | 庭（にわ）
疑惑 | suspicion | ぎわく | 彼に疑惑がかけられた。 | Suspicion fell on him. | 汚職疑惑 |  | 疑い（うたがい）
戯曲 | play; drama | ぎきょく | 有名な戯曲を読む。 | Read a famous play. | 戯曲作家 |  | 劇（げき）
遺跡 | ruins; archaeological site | いせき | 古代の遺跡を訪れた。 | I visited ancient ruins. | 遺跡調査 |  | 廃墟（はいきょ）
強盗 | robbery | ごうとう | 強盗事件が起きた。 | A robbery occurred. | 銀行強盗 |  | 泥棒（どろぼう）
猛烈 | fierce; intense | もうれつ | 猛烈な勢いで進む。 | Move with fierce speed. | 猛烈な台風 |  | 激しい（はげしい）
勇敢 | brave | ゆうかん | 勇敢な行動を取った。 | He acted bravely. | 勇敢な兵士 |  | 勇気（ゆうき）
無謀 | reckless | むぼう | 無謀な運転をするな。 | Don’t drive recklessly. | 無謀な挑戦 |  | 危険な
捕虜 | prisoner of war | ほりょ | 捕虜として扱われた。 | He was treated as a prisoner. | 捕虜収容所 |  | 囚人（しゅうじん）
貫禄 | dignity; presence | かんろく | 彼には貫禄がある。 | He has a commanding presence. | 貫禄十分 |  | 風格（ふうかく）
戦略を練る | devise a strategy | せんりゃくをねる | 戦略を練ってから行動する。 | Act after devising a strategy. | 戦略立案 |  | 計画する
配る | distribute | くばる | チラシを配った。 | I distributed flyers. | 気を配る |  | 渡す
陥る | fall into | おちいる | パニックに陥った。 | I fell into panic. | 罠に陥る |  | はまる
浸る | be immersed in | ひたる | 思い出に浸る。 | Be immersed in memories. | 感傷に浸る |  | 夢中になる
誇る | be proud of | ほこる | 日本は技術力を誇る。 | Japan prides itself on its technology. | 誇りを持つ |  | 自慢する
理不尽な | unreasonable | りふじんな | 理不尽な要求をされた。 | I received an unreasonable demand. | 理不尽な扱い |  | 不当（ふとう）
憧る | long for; admire | あこがる | 海外生活に憧る。 | I long for life abroad. | 憧れの存在 |  | 夢見る
遮る | block; interrupt | さえぎる | 光を遮る。 | Block the light. | 話を遮る |  | 妨げる
潤う | become moist; prosper | うるおう | 雨で土地が潤った。 | The land was moistened by rain. | 家計が潤う |  | 豊かになる
渋滞 | traffic jam | じゅうたい | 道路が渋滞している。 | The road is jammed. | 大渋滞 |  | 混む
込める | put into; include | こめる | 気持ちを込めて書く。 | Write with feeling. | 力を込める |  | 入れる
納める | pay; store; deliver | おさめる | 税金を納める。 | Pay taxes. | 収める（おさめる） |  | 収納（しゅうのう）
沈る | sink; feel depressed | しもる | 気分が沈る。 | My mood sinks. | 沈んだ表情 |  | 落ち込む
絡まる | get tangled | からまる | 紐が絡まった。 | The string got tangled. | 髪が絡まる |  | もつれる
緩め | loosen | ゆるめ | ネクタイを緩めた。 | I loosened my tie. | 速度を緩める |  | 弱める
勧める | recommend | すすめる | 本を勧められた。 | I was recommended a book. | 友人に勧める |  | 推薦する
固める | harden; strengthen | かためる | 決意を固めた。 | I strengthened my resolve. | 基礎を固める |  | 強化する
努める | strive; make effort | つとめる | 冷静を保つよう努めた。 | I tried to stay calm. | 努力に努める | 務める（つとめる） means: ⏎  ⏎ to serve as, to fulfill the duties of, or to perform the role of a position or responsibility. ⏎  ⏎ The key idea is: ⏎  ⏎ You have a role or duty, and you carry it out. ⏎  ⏎ 1. To serve in a role (most common) ⏎ 社長を務める ⏎ → to serve as president ⏎ 司会を務める ⏎ → to act as the host/MC ⏎ キャプテンを務める ⏎ → to serve as captain ⏎ Examples ⏎ 彼は10年間、部長を務めた。 ⏎ → He served as department manager for ten years. ⏎ 私が司会を務めます。 ⏎ → I'll be the moderator. ⏎ 2. To fulfill a duty or responsibility ⏎ 責任を務める (less common; usually 役目 or 職 is used instead) ⏎ 役目を務める ⏎ → to fulfill one's role ⏎  ⏎ Example: ⏎  ⏎ 彼は父親としての役目を立派に務めた。 ⏎ → He fulfilled his role as a father admirably. ⏎ Difference from other 「つとめる」 verbs ⏎  ⏎ Japanese has three common verbs pronounced つとめる: ⏎  ⏎ Kanji	Meaning ⏎ 務める	fulfill a role or duty ⏎ 勤める	work for a company or organization ⏎ 努める	make an effort, strive | 励む
環境破壊 | environmental destruction | かんきょうはかい | 環境破壊が進んでいる。 | Environmental destruction is progressing. | 深刻な環境破壊 |  | 汚染（おせん）
破壊 | destruction | はかい | 建物が破壊された。 | The building was destroyed. | 自然破壊 |  | 壊す
