彼を師として仰ぐ。|仰ぐ
秘密を明かす。|明かす
顔が赤らむ。|赤らむ
人を欺く。|欺く
試験前に焦る。|焦る
事故に遭う。|遭う
時間を費やす。|費やす
行動を促す。|促す
会議を打ち切る。|打ち切る
裁判に訴える。|訴える
財布を奪う。|奪う
雨で土地が潤う。|潤う
夢を描く。|描く
勉強を怠る。|怠る
人を脅かす。|脅かす
混乱に陥る。|陥る
能力で劣る。|劣る
教育に携わる。|携わる
言葉を慎む。|慎む
仕事を怠ける。|怠ける
危険から逃れる。|逃れる
勉強に励む。|励む
経験を踏まえる。|踏まえる
文明が滅びる。|滅びる
技術を誇る。|誇る
会議を催す。|催す
真理を悟る。|悟る
強盗が銀行を襲った。|襲う
古い家が朽ちていく。|朽ちる
年齢を偽る。|偽る
不公平な扱いに憤った。|憤る
難問に挑む。|挑む
工事を請け負う。|請け負う
家業を受け継ぐ。|受け継ぐ
研究に打ち込む。|打ち込む
赤い服が映える。|映える
犯罪に怯える。|怯える
人を脅す。|脅す
彼を罠に陥れる。|陥れる
書類を携えて会議に出る。|携える
慎ましい生活を送る。|慎ましい
危険を伴う。|伴う
チャンスを逃した。|逃す
子供を励ます。|励ます
詳細に踏み込む。|踏み込む
国を滅ぼす。|滅ぼす
事実を誇張する。|誇張する
支払いを催促する。|催促する
敵を襲撃する。|襲撃する
古い寺が朽ち果てた。|朽ち果てる
慎重に判断する。|慎重にする
身分を偽装する。|偽装する
彼に憧れている。|憧れる
彼の言葉を誤解した。|誤解する
人を催眠する。|催眠する
長い修行の末に悟りを開いた。|悟りを開く
台風が襲来した。|襲来する
危険を敢えて挑む。|敢える
同じ料理に飽きた。|飽きる
機械を慎重に扱う。|扱う
判断を誤る。|誤る
人生を歩む。|歩む
天気が荒れる。|荒れる
日光を浴びる。|浴びる
子供が暴れている。|暴れる
食べ物が余った。|余る
部下を威圧する。|威圧する
自分の意見を言い張る。|言い張る
噂を言い触らす。|言い触らす
判決を言い渡す。|言い渡す
提案を受け入れる。|受け入れる
ボールを受け止める。|受け止める
申請を受け付ける。|受け付ける
秘密を打ち明ける。|打ち明ける
噂を打ち消す。|打ち消す
映画をスクリーンに映す。|映す
鏡に映る。|映る
危険に遭遇する。|遭遇する
胸を圧迫する。|圧迫する
親に依存する。|依存する
敵を威嚇する。|威嚇する
運命を委ねる。|委ねる
店を営む。|営む
困難に打ち勝つ。|打ち勝つ
常識を覆す。|覆す
趣味と実益を兼ねる。|兼ねる
趣味に凝る。|凝る
進行を阻む。|阻む
治療を施す。|施す
壁で隔てる。|隔てる
責任を免れる。|免れる
言葉と行動が矛盾する。|矛盾する
発展を妨げる。|妨げる
困難を克服する。|克服する
目的を遂げる。|遂げる
規則に従う。|従う
医者と称する男。|称する
幻を見たと錯覚する。|錯覚する
人に労働を強いる。|強いる
被害は全国に及んだ。|及ぶ
花に手紙を添える。|添える
政権を謀る。|謀る
永遠の愛を誓う。|誓う
会議に臨む。|臨む
任務を遂行する。|遂行する
新しい法律を施行する。|施行する
他人の気持ちに配慮する。|配慮する
状況を把握する。|把握する
医療に従事する。|従事する
計画を阻止する。|阻止する
交通を妨害する。|妨害する
チラシを配る。|配る
発言を控える。|控える
陰謀を企む。|企む
功績を称える。|称える
ペンキが剥げる。|剥げる
狐が人に化ける。|化ける
成功して威張る。|威張る
友人を慰める。|慰める
ロープを綯える。|綯える
愛を育む。|育む
話が逸れる。|逸れる
都市が栄える。|栄える
山が煙る。|煙る
船が遠ざかる。|遠ざかる
例を挙げる。|挙げる
道を狭める。|狭める
愚かさ極まる。|極まる
技を極める。|極める
穴を掘る。|掘る
家業を継ぐ。|継ぐ
礼儀を欠く。|欠く
包丁を研ぐ。|研ぐ
宝石を見せびらかす。|見せびらかす
美しい景色に見とれる。|見とれる
木が枯れる。|枯れる
過去を顧みる。|顧みる
人々に交じる。|交じる
喉を渇かす。|渇かす
畑を耕す。|耕す
対策を講じる。|講じる
危険を告げる。|告げる
道が塞がる。|塞がる
頭が冴える。|冴える
気持ちを察する。|察する
手を擦る。|擦る
王に仕える。|仕える
神を司る。|司る
国が治まる。|治まる
プロジェクトを手がける。|手がける
顔が腫れる。|腫れる
仕事に就く。|就く
損害を償う。|償う
医者を召す。|召す
意見を唱える。|唱える
無駄を省く。|省く
席を譲る。|譲る
権利を侵す。|侵す
足を水に浸す。|浸す
涙が垂れる。|垂れる
空気が澄む。|澄む
試合を制する。|制
慎ましい生活を送る。|慎ましい
愚かさ極まる。|極まる
技を極める。|極める
夕日に照らされて山が映える。|映える
鏡が彼女の姿を映す。|映す
画面に文字がはっきり映る。|映る
真理を極めるために研究を続ける。|極める
緊張が極まって声が震えた。|極まる
子供を携えて旅に出る。|携える
新しいプロジェクトに携わることになった。|携わる
壁に美しい装飾を施す。|施す
寄付を施して人々を助ける。|施す
説明を省いて本題に入る。|省く
彼は最後まで意見を譲らなかった。|譲る
病気が体を侵す。|侵す
野菜を塩水に浸しておく。|浸す
彼の沈黙から状況を察した。|察する
選手たちは控室で出番を待っている。|控える
彼は新しい任務に就いた。|就く
川に沿って道が従っている。|従う
議論は深夜にまで及んだ。|及ぶ
その決定は社会に重大な影響を及ぼす。|及ぼす
彼は友人を伴って会場に入った。|伴う
鐘が正午を告げる。|告げる
惜しむ気持ちを抑えて彼を見送った。|惜しむ
職人が丁寧に布を織っていく。|織る
破れた袖を繕って再び着られるようにした。|繕う
信念を貫いて最後まで主張を曲げなかった。|貫く
花瓶に季節の花を美しく生けた。|生ける
夜が更けるにつれて街の灯りが減っていった。|更ける
師匠が弟子に秘伝の技を授けた。|授ける
冷たい風が頬の痛みを和らげた。|和らげる
旅が果てて彼は故郷へ戻った。|果てる
強豪相手に善戦したが最後に敗れた。|敗れる
彼の努力は賞賛に値する。|値する
自分の過ちを深く恥じて謝罪した。|恥じる
年を重ねるごとに人は老いていく。|老いる
餌に群がる鳥たちの声が響いた。|群がる
山々が連なって壮大な景色を作り出している。|連なる
新しい命を産んで母は涙を流した。|産む
彼は長年の悩みで心を病んでしまった。|病む
川辺で風に当たりながら涼んだ。|涼む
庭に植えた木が少しずつ枝を生やしてきた。|生やす
古い記録に彼の名がしっかり記されていた。|記す
祭りの日に人々が神輿を担いで練り歩いた。|担ぐ
社長から直々に賞を賜った。|賜る
神に酒を奉って祈りを捧げた。|奉る
走りながら泥を掻けてしまい服が汚れた。|掻ける
時代の変化とともに古い習慣が廃れていった。|廃れる
人混みに紛れて彼の姿を見失った。|紛れる
