結晶 | crystal; crystallization | けっしょう | 雪が結晶になった。 | The snow formed crystals. | 氷の結晶 |  | 凝固（ぎょうこ） related, クリスタル loanword
無言 | silence; wordless | むごん | 彼は無言で立ち去った。 | He left without a word. | 無言の圧力 |  | 沈黙（ちんもく） similar meaning
誇張 | exaggeration | こちょう | 彼の話は誇張が多い。 | His story has a lot of exaggeration. | 誇張表現 |  | 大げさ similar nuance
悪癖 | bad habit | あくへき | 悪癖を直したい。 | I want to fix my bad habit. | 悪癖がつく |  | 習慣（しゅうかん） related, 癖（くせ） base word
進歩 | progress; improvement | しんぽ | 技術は日々進歩している。 | Technology progresses daily. | 科学の進歩 |  | 発展（はってん） similar nuance
融通 | flexibility; adaptability | ゆうずう | 彼は融通が利く。 | He is flexible. | 融通を利かせる |  | 柔軟（じゅうなん） similar nuance
融通が利かない | inflexible; rigid | ゆうずうがきかない | 彼は融通が利かない人だ。 | He is an inflexible person. | 性格が融通が利かない |  | 頑固（がんこ） similar nuance
一概に | categorically; generally speaking | いちがいに | 一概に悪いとは言えない。 | You can’t say it’s bad across the board. | 一概に〜とは言えない |  | 必ずしも〜ない similar usage
避難 | evacuation; taking shelter | ひなん | 住民が避難した。 | Residents evacuated. | 避難指示 |  | 退避（たいひ） related, 非難（ひなん） visually similar
突如 | suddenly; abruptly | とつじょ | 突如雨が降り出した。 | It suddenly started raining. | 突如現れる |  | 急に similar meaning
拝啓 | Dear Sir/Madam (letter opening) | はいけい | 拝啓、春の候。 | Dear Sir, in this spring season. | 拝啓〜敬具 |  | 敬具（けいぐ） closing
繊維 | fiber; textile | せんい | この服は天然繊維だ。 | This clothing is made of natural fibers. | 化学繊維 |  | 織物（おりもの） related
判別 | distinguish; differentiate | はんべつ | 本物と偽物を判別する。 | Distinguish real from fake. | 判別が難しい |  | 区別（くべつ） similar meaning
決意 | determination | けつい | 留学を決意した。 | I decided to study abroad. | 決意を固める |  | 覚悟（かくご） similar nuance
批判 | criticism | ひはん | 彼の発言は批判された。 | His remark was criticized. | 批判を受ける |  | 非難（ひなん） similar meaning
審判 | referee; judgment | しんぱん | 審判が試合を止めた。 | The referee stopped the match. | 主審・副審 |  | 判決（はんけつ） related, 審査（しんさ） visually similar
混同 | mix up; confuse | こんどう | 仕事と私情を混同するな。 | Don’t mix work and personal feelings. | 混同しやすい |  | ごちゃまぜ similar nuance
連行 | taking away (by police) | れんこう | 容疑者が連行された。 | The suspect was taken away. | 警察に連行 |  | 逮捕（たいほ） related
同伴 | accompaniment; going with | どうはん | 保護者同伴が必要だ。 | A guardian must accompany. | 同伴者 |  | 付き添い similar nuance
脱落 | dropping out; falling off | だつらく | 途中で脱落した。 | He dropped out halfway. | 脱落者 |  | 途中離脱（とちゅうりだつ） similar meaning
暴落 | crash (market); sharp fall | ぼうらく | 株価が暴落した。 | Stock prices crashed. | 株価暴落 |  | 急落（きゅうらく） similar meaning, 暴騰（ぼうとう） opposite
落札 | winning a bid | らくさつ | 彼がオークションで落札した。 | He won the auction. | 最高落札額 |  | 入札（にゅうさつ） related
落胆 | disappointment | らくたん | 結果に落胆した。 | I was disappointed by the result. | 落胆の色を見せる |  | がっかり similar meaning
撤収 | withdrawal; pulling out | てっしゅう | 軍が撤収した。 | The troops withdrew. | 撤収作業 |  | 撤退（てったい） similar meaning
没収 | confiscation | ぼっしゅう | 違法品が没収された。 | Illegal goods were confiscated. | 財産没収 |  | 取り上げる similar nuance
収穫 | harvest; yield | しゅうかく | 今年の収穫は多い。 | This year’s harvest is large. | 収穫量 |  | 実り（みのり） related
吸収 | absorption | きゅうしゅう | 水を吸収する。 | Absorb water. | 吸収率 |  | 取り込む similar nuance
介護 | nursing care | かいご | 母の介護をしている。 | I care for my mother. | 介護施設 |  | 介助（かいじょ） related
介入 | intervention | かいにゅう | 政府が市場に介入した。 | The government intervened in the market. | 市場介入 |  | 干渉（かんしょう） similar nuance
弁護 | legal defense | べんご | 弁護士が被告を弁護した。 | The lawyer defended the defendant. | 自己弁護 |  | 擁護（ようご） related
警護 | guarding; protection | けいご | 要人を警護する。 | Guard a VIP. | 警護チーム |  | 警備（けいび） similar meaning
独創的 | creative; original | どくそうてき | 独創的なアイデアだ。 | That’s a creative idea. | 独創的な発想 |  | 創造的（そうぞうてき） similar meaning
